,Unnamed: 0,instrument,granularity,time,stringTime,volume,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose,askOpen,askHigh,askLow,askClose,askCloseDelta,midCloseDelta,bidCloseDelta
1636,1636,AUDUSD,H1,2021-10-06 07:00:00,2021-10-06T07:00:00,0.05457906712172924,0.4528906118321263,0.4414141414141426,0.44598527649375086,0.4410178631614414,0.4528906118321263,0.4414141414141426,0.44598527649375086,0.4410178631614414,0.4528906118321263,0.4414141414141426,0.44598527649375086,0.4410178631614414,-0.00021999999999999797,0.5586319218241043,-0.00021999999999999797
1637,1637,AUDUSD,H1,2021-10-06 08:00:00,2021-10-06T08:00:00,0.07576791808873719,0.4407550986010449,0.44326599326599236,0.45454545454545503,0.4405123019885391,0.4407550986010449,0.44326599326599236,0.45454545454545503,0.4405123019885391,0.4407550986010449,0.44326599326599236,0.45454545454545503,0.4405123019885391,-0.0025999999999999357,0.3648208469055419,-0.0025999999999999357
1638,1638,AUDUSD,H1,2021-10-06 09:00:00,2021-10-06T09:00:00,0.095193401592719,0.4404180010112917,0.4398989898989889,0.44821092278719377,0.4373104145601605,0.4404180010112917,0.4398989898989889,0.44821092278719377,0.4373104145601605,0.4404180010112917,0.4398989898989889,0.44821092278719377,0.4373104145601605,-0.0024999999999999467,0.37296416938111104,-0.0024999999999999467
1639,1639,AUDUSD,H1,2021-10-06 10:00:00,2021-10-06T10:00:00,0.18273606370875994,0.4372155739086452,0.4245791245791253,0.4093477144324602,0.39669700033704025,0.4372155739086452,0.4245791245791253,0.4093477144324602,0.39669700033704025,0.4372155739086452,0.4245791245791253,0.4093477144324602,0.39669700033704025,0.0,0.5765472312703582,0.0
1640,1640,AUDUSD,H1,2021-10-06 11:00:00,2021-10-06T11:00:00,0.13956200227531285,0.3967638631383785,0.39444444444444393,0.40027392569765397,0.395180316818335,0.3967638631383785,0.39444444444444393,0.40027392569765397,0.395180316818335,0.3967638631383785,0.39444444444444393,0.40027392569765397,0.395180316818335,0.0006399999999999739,0.6286644951140045,0.0006399999999999739
1641,1641,AUDUSD,H1,2021-10-06 12:00:00,2021-10-06T12:00:00,0.11857224118316267,0.39507837518961786,0.38838383838383983,0.39873309364834775,0.39669700033704025,0.39507837518961786,0.38838383838383983,0.39873309364834775,0.39669700033704025,0.39507837518961786,0.38838383838383983,0.39873309364834775,0.39669700033704025,0.0011099999999999444,0.6669381107491814,0.0011099999999999444
1642,1642,AUDUSD,H1,2021-10-06 13:00:00,2021-10-06T13:00:00,0.09721274175199089,0.3965953143435037,0.3946127946127955,0.4004451292586886,0.40596562184024165,0.3965953143435037,0.3946127946127955,0.4004451292586886,0.40596562184024165,0.3965953143435037,0.3946127946127955,0.4004451292586886,0.40596562184024165,0.0017200000000000548,0.7166123778501677,0.0017200000000000548
1643,1643,AUDUSD,H1,2021-10-06 14:00:00,2021-10-06T14:00:00,0.09240614334470988,0.40569694926681343,0.405555555555555,0.41756548536209515,0.4154027637344111,0.40569694926681343,0.405555555555555,0.41756548536209515,0.4154027637344111,0.40569694926681343,0.405555555555555,0.41756548536209515,0.4154027637344111,0.0005800000000000249,0.6237785016286667,0.0005800000000000249
1644,1644,AUDUSD,H1,2021-10-06 15:00:00,2021-10-06T15:00:00,0.17138794084186576,0.4153042305747512,0.4363636363636356,0.429549734634481,0.4349511290866186,0.4153042305747512,0.4363636363636356,0.429549734634481,0.4349511290866186,0.4153042305747512,0.4363636363636356,0.429549734634481,0.4349511290866186,0.00036999999999998145,0.6066775244299659,0.00036999999999998145
1645,1645,AUDUSD,H1,2021-10-06 16:00:00,2021-10-06T16:00:00,0.24994311717861206,0.43485589078038167,0.44191919191919204,0.4300633453175813,0.42517694641051484,0.43485589078038167,0.44191919191919204,0.4300633453175813,0.42517694641051484,0.43485589078038167,0.44191919191919204,0.4300633453175813,0.42517694641051484,0.0006699999999999484,0.6311074918566735,0.0006699999999999484
1646,1646,AUDUSD,H1,2021-10-06 17:00:00,2021-10-06T17:00:00,0.2516780432309443,0.42541715826731874,0.43451178451178407,0.4273240883410381,0.44118638355240947,0.42541715826731874,0.43451178451178407,0.4273240883410381,0.44118638355240947,0.42541715826731874,0.43451178451178407,0.4273240883410381,0.44118638355240947,-0.0009799999999999809,0.4967426710097732,-0.0009799999999999809
1647,1647,AUDUSD,H1,2021-10-06 18:00:00,2021-10-06T18:00:00,0.14283276450511945,0.4412607449856729,0.43333333333333357,0.4252696456086298,0.43646781260532386,0.4412607449856729,0.43333333333333357,0.4252696456086298,0.43646781260532386,0.4412607449856729,0.43333333333333357,0.4252696456086298,0.43646781260532386,0.0007900000000000684,0.6408794788273673,0.0007900000000000684
1648,1648,AUDUSD,H1,2021-10-06 19:00:00,2021-10-06T19:00:00,0.10091012514220704,0.43637282993426574,0.4274410774410775,0.4340010272213668,0.4246713852376143,0.43637282993426574,0.4274410774410775,0.4340010272213668,0.4246713852376143,0.43637282993426574,0.4274410774410775,0.4340010272213668,0.4246713852376143,0.0020599999999999508,0.7442996742670975,0.0020599999999999508
1649,1649,AUDUSD,H1,2021-10-06 20:00:00,2021-10-06T20:00:00,0.10054038680318543,0.4245744142929375,0.4390572390572398,0.43451463790446887,0.44978092349174226,0.4245744142929375,0.4390572390572398,0.43451463790446887,0.44978092349174226,0.4245744142929375,0.4390572390572398,0.43451463790446887,0.44978092349174226,0.0010599999999999499,0.6628664495113968,0.0010599999999999499
1650,1650,AUDUSD,H1,2021-10-06 21:00:00,2021-10-06T21:00:00,0.13430034129692833,0.4501938311141078,0.4503367003366989,0.4624208183530225,0.45938658577687796,0.4501938311141078,0.4503367003366989,0.4624208183530225,0.45938658577687796,0.4501938311141078,0.4503367003366989,0.4624208183530225,0.45938658577687796,4.999999999999449e-05,0.5806188925081428,4.999999999999449e-05
1651,1651,AUDUSD,H1,2021-10-06 22:00:00,2021-10-06T22:00:00,0.08054607508532423,0.45929546603741755,0.4570707070707076,0.4720082177709308,0.46764408493427645,0.45929546603741755,0.4570707070707076,0.4720082177709308,0.46764408493427645,0.45929546603741755,0.4570707070707076,0.4720082177709308,0.46764408493427645,-0.0005899999999999794,0.5285016286644966,-0.0005899999999999794
1652,1652,AUDUSD,H1,2021-10-06 23:00:00,2021-10-06T23:00:00,0.028640500568828213,0.46755435698634784,0.4563973063973066,0.47508988186954326,0.4602291877317146,0.46755435698634784,0.4563973063973066,0.47508988186954326,0.4602291877317146,0.46755435698634784,0.4563973063973066,0.47508988186954326,0.4602291877317146,0.0005500000000000504,0.6213355048859976,0.0005500000000000504
1653,1653,AUDUSD,H1,2021-10-07 00:00:00,2021-10-07T00:00:00,0.004180887372013652,0.4601382100117988,0.4528619528619533,0.4711521999657595,0.45770138186720466,0.4601382100117988,0.4528619528619533,0.4711521999657595,0.45770138186720466,0.4601382100117988,0.4528619528619533,0.4711521999657595,0.45770138186720466,0.0013300000000000534,0.6848534201954444,0.0013300000000000534
1654,1654,AUDUSD,H1,2021-10-07 01:00:00,2021-10-07T01:00:00,0.0189419795221843,0.4598011124220456,0.45993265993265986,0.47183701420989443,0.4694978092349178,0.4598011124220456,0.45993265993265986,0.47183701420989443,0.4694978092349178,0.4598011124220456,0.45993265993265986,0.47183701420989443,0.4694978092349178,0.0007599999999999829,0.6384364820846893,0.0007599999999999829
1655,1655,AUDUSD,H1,2021-10-07 02:00:00,2021-10-07T02:00:00,0.0363481228668942,0.4694083937299851,0.46902356902356956,0.48296524567711074,0.4801145938658582,0.4694083937299851,0.46902356902356956,0.48296524567711074,0.4801145938658582,0.4694083937299851,0.46902356902356956,0.48296524567711074,0.4801145938658582,0.0004999999999999449,0.6172638436482041,0.0004999999999999449
1656,1656,AUDUSD,H1,2021-10-07 03:00:00,2021-10-07T03:00:00,0.08660409556313993,0.4800269678071807,0.4720538720538716,0.48450607772641696,0.4823053589484321,0.4800269678071807,0.4720538720538716,0.48450607772641696,0.4823053589484321,0.4800269678071807,0.4720538720538716,0.48450607772641696,0.4823053589484321,-0.00017000000000000348,0.5627035830618888,-0.00017000000000000348
1657,1657,AUDUSD,H1,2021-10-07 04:00:00,2021-10-07T04:00:00,0.08435722411831625,0.48221810214056937,0.4797979797979792,0.4884437596302007,0.48854061341422295,0.48221810214056937,0.4797979797979792,0.4884437596302007,0.48854061341422295,0.48221810214056937,0.4797979797979792,0.4884437596302007,0.48854061341422295,-0.00026999999999999247,0.5545602605863197,-0.00026999999999999247
1658,1658,AUDUSD,H1,2021-10-07 05:00:00,2021-10-07T05:00:00,0.04451080773606371,0.4884544075509858,0.4757575757575747,0.490498202362609,0.4794405123019878,0.4884544075509858,0.4757575757575747,0.490498202362609,0.4794405123019878,0.4884544075509858,0.4757575757575747,0.490498202362609,0.4794405123019878,-0.00021999999999999797,0.5586319218241043,-0.00021999999999999797
1659,1659,AUDUSD,H1,2021-10-07 06:00:00,2021-10-07T06:00:00,0.03267918088737201,0.47935277262767606,0.4728956228956225,0.4870741311419273,0.4839905628581054,0.47935277262767606,0.4728956228956225,0.4870741311419273,0.4839905628581054,0.47935277262767606,0.4728956228956225,0.4870741311419273,0.4839905628581054,-0.0012600000000000389,0.47394136807817233,-0.0012600000000000389
1660,1660,AUDUSD,H1,2021-10-07 07:00:00,2021-10-07T07:00:00,0.03381683731513083,0.48390359008933004,0.4759259259259263,0.490498202362609,0.4757330637007069,0.48390359008933004,0.4759259259259263,0.490498202362609,0.4757330637007069,0.48390359008933004,0.4759259259259263,0.490498202362609,0.4757330637007069,0.0016699999999999493,0.7125407166123741,0.0016699999999999493
1661,1661,AUDUSD,H1,2021-10-07 08:00:00,2021-10-07T08:00:00,0.06589874857792946,0.47547615034552493,0.4670033670033664,0.4754322889916107,0.4627569935962246,0.47547615034552493,0.4670033670033664,0.4754322889916107,0.4627569935962246,0.47547615034552493,0.4670033670033664,0.4754322889916107,0.4627569935962246,0.0022100000000000453,0.7565146579804602,0.0022100000000000453
1662,1662,AUDUSD,H1,2021-10-07 09:00:00,2021-10-07T09:00:00,0.09203640500568827,0.46249789314006406,0.4920875420875426,0.4774867317240208,0.5038759689922472,0.46249789314006406,0.4920875420875426,0.4774867317240208,0.5038759689922472,0.46249789314006406,0.4920875420875426,0.4774867317240208,0.5038759689922472,-0.0007599999999999829,0.5146579804560272,-0.0007599999999999829
1663,1663,AUDUSD,H1,2021-10-07 10:00:00,2021-10-07T10:00:00,0.13907849829351537,0.5039608966795885,0.5001683501683498,0.5117274439308339,0.5,0.5039608966795885,0.5001683501683498,0.5117274439308339,0.5,0.5039608966795885,0.5001683501683498,0.5117274439308339,0.5,-0.0011100000000000554,0.48615635179152605,-0.0011100000000000554
1664,1664,AUDUSD,H1,2021-10-07 11:00:00,2021-10-07T11:00:00,0.10981228668941978,0.4999157256025626,0.4934343434343429,0.4954631056325969,0.4910684192787311,0.4999157256025626,0.4934343434343429,0.4954631056325969,0.4910684192787311,0.4999157256025626,0.4934343434343429,0.4954631056325969,0.4910684192787311,0.0006300000000000194,0.6278501628664512,0.0006300000000000194
1665,1665,AUDUSD,H1,2021-10-07 12:00:00,2021-10-07T12:00:00,0.08122866894197951,0.4909826394741277,0.4779461279461277,0.490498202362609,0.4812942366026274,0.4909826394741277,0.4779461279461277,0.490498202362609,0.4812942366026274,0.4909826394741277,0.4779461279461277,0.490498202362609,0.4812942366026274,0.0021500000000000963,0.7516286644951223,0.0021500000000000963
1666,1666,AUDUSD,H1,2021-10-07 13:00:00,2021-10-07T13:00:00,0.042121729237770196,0.4813753581661899,0.48888888888888893,0.49666153055983564,0.5016852039096733,0.4813753581661899,0.48888888888888893,0.49666153055983564,0.5016852039096733,0.4813753581661899,0.48888888888888893,0.49666153055983564,0.5016852039096733,-0.00043999999999999595,0.5407166123778503,-0.00043999999999999595
1667,1667,AUDUSD,H1,2021-10-07 14:00:00,2021-10-07T14:00:00,0.10264505119453923,0.5016012135513233,0.5175084175084166,0.515493922273583,0.5175261206605999,0.5016012135513233,0.5175084175084166,0.515493922273583,0.5175261206605999,0.5016012135513233,0.5175084175084166,0.515493922273583,0.5175261206605999,-0.0008500000000000174,0.5073289902280113,-0.0008500000000000174
